id	text	is_humor	humor_rating	humor_controversy	offense_rating
1	Tennessee: We are the best state. Nobody is even close. * ElektNessee goes into the room * Tennessee: Oh shit ... 	1	2.42	1.0	0.2
2	A man has inserted an advertisement in the advertisements "Wife wanted". The next day he received 1000 answers, everything reads: "You can have mine." Free delivery also available in your doorstep 	1	2.5	1.0	1.1
3	How many men do it needs to open a can of beer? Nobody. It should be open until it brings it to the couch. 	1	1.95	0.0	2.4
4	Said my mother, I met 1200 Twitter followers. She pointed out how my brother owns a house and searched by several collective agencies. Oh ma! 	1	2.11	1.0	0.0
5	Roses are dead. Love is wrong. Weddings are basically burials with cakes. 	1	2.78	0.0	0.1
8	I: I'm such an original. Really a unique style. I too: [holds a glass of white wine] I love to laugh. 	1	1.79	1.0	0.0
12	What is the difference between a Mormon man and a Muslim man. A Mormon man gets 72 virgins and then kills himself. 	1	2.2	0.0	2.95
13	Listen to calling 9-1-1 because they do not go out toilet paper. Yes. If you go out of toilet paper, do not choose 9-1-1. The number is 9-2-2. 'Stephen Colbert. 	1	1.5	1.0	0.0
14	When they march the streets screaming with people, it is civilian disobedience, but drunk it alone, and it's an involuntary 72-hour stop 	1	2.16	1.0	0.2
18	You can create each set Creemer by adding it. "Only two approval adults, ride a tandem kayaking." 	1	1.78	1.0	0.2
20	I: When the Ant man shrinks, making the room smaller the room between the atoms, how is it going to be the subatomic type in the stable next to me: think 	1	1.55	1.0	0.9
21	I do not say that my pubic hairs will be too long, but when I get an erection, it looks as if Pinocchio has gone and joined the Taliban. 	1	2.45	0.0	1.8
24	My girlfriend is like the square root of -100. She is a 10, but it is imaginary. 	1	2.45	0.0	0.05
26	My wife left me because she said I made a meal of all. I want to bring you to eat these words. 	1	2.65	1.0	0.15
27	How do the Chinese choose their baby names? You dye a tin downloading the stair-ping-wong-ching-pang 	1	2.4	1.0	3.8
28	What a relief! I went to the doctor to look at him on a big mole on my chest. It turned out that it was not crookic, mostly because it was a dollop of BBQ sauce, and not a mole. 	1	2.89	0.0	0.25
29	My dad familiarized nobody. In fact, he has a saying ... but he will not tell me. 	1	2.95	0.0	0.0
30	What is a copy? Mama Mia, it's an Italian astronaut! 	1	1.21	0.0	0.85
31	I asked a pretty, young, homeless woman, if I could take her home, and she said yes with a big smile. The view of her face soon changed when I started with her cardboard box. 	1	2.58	1.0	2.15
32	I had a vasectomy, so I have no children, but when I came home, they were still there. 	1	3.21	0.0	0.15
33	We not only had sweets, but candy roller chairs, sweets, etc., so the other mobility aids do not feel discriminated against. 	1	2.3	0.0	1.35
36	Damn girls! Her name must be Ebola ... Everything I can think about spread. 	1	1.85	0.0	1.95
37	I once interviewed that a position becomes a blacksmith. They asked if I ever longed a horse. I said, "No, but I told a donkey that he should fuck a donkey." 	1	2.53	0.0	0.2
38	Everyone who eats flood pods is an idiot. You could go to Costco and get the generic brand for half price. 	1	2.95	1.0	0.5
42	Biker: What should we call the gang? Other biker, who is actually a truly talented writer, but never encouraged, as a child to pursue his gift, so he found the community with a harsh, but loyal group of guys: how about ... the angels of the Hell. Biker: Damn, man. Yes. 	1	1.76	0.0	0.2
46	What do you call bad breath that sneaks up to you? Ninjavitis. 	1	2.45	1.0	0.0
47	What does a Gay cock say? "Anycockledoooooo!" rfl 	1	2.0	1.0	2.0
48	How can you say when an Italian car has a plate tire? Dago Wop Wop Wop 	1	1.5	1.0	2.0
50	I never end something. I have a black belt in partial art. 	1	2.75	1.0	0.0
51	In 2018, a Missouri Deer Poacher was asked to look at "Bambi" once a month for the totality of his years of prison. 	1	1.71	0.0	0.2
52	Two meth heads start a relationship, is that as a speed-dating ... or just a feature? 	1	2.9	1.0	0.9
53	Why does Kim Jong book books? Because he is the wonderful reader 	1	1.68	0.0	0.8
54	When I was in college, I lived with a houseboat and began with the girl next door. Finally, we drove apart. 	1	2.95	0.0	0.25
56	The most incredible part over the Sesame Strait (a show with an 8-foot bird) is that in the whole neighborhood only one show is available. 	1	2.89	0.0	0.0
58	Ten years after my death, my best friend finally opens the package that I left him in my will. He is confused with the empty box. He wonders when there was a mistake. Then he smells the fart. Laughing my mind can now rest in peace. 	1	2.5	0.0	0.3
60	We do not give the fathers enough loans that spend their growth with the lights and adaptation of thermostats to constantly turn off. These are the true indirid heroes of fighting climate change and the reduction of humanity's carbon footprints. 	1	2.27	0.0	0.0
63	Helen Keller goes into a bar. And then a table and then a stool. 	1	3.15	1.0	2.1
64	The year is 2125, we tour the American ruins. The zombies are too fat to be immediate threat. 	1	2.58	1.0	0.6
67	My girlfriend got a new tattoo on her inner thigh. It's a seashell. If you put your ear on it, you can smell the ocean. 	1	2.6	0.0	1.2
69	I only believe 12.5% of the Bible. Which means that I am an eighth 	1	2.4	1.0	0.5
70	My wife has just found a Brezel in her hair and then ate it and I did not know that I could love her more. 	1	2.71	0.0	0.05
71	Why do Americans have good computers? Because you have no troubleshooting. 	1	2.16	1.0	1.0
74	I want to see a chick flakes with my chick while we eat at a Sunday Chick Fil-A 	1	1.8	1.0	0.05
75	Went to Petit Trois tonight and it was delicious! The man sitting in a high stool for the whole dinner was hard on the old girl 	1	1.36	0.0	0.1
76	I met a girl who said that she liked, dragging dragons. I asked her if she could imagine the DRAGON about her chin. 	1	1.95	0.0	3.1
78	I'm waiting for you to invent a pleasure robot that is so lifelike, it has no sex with me. 	1	2.8	1.0	0.4
79	It's not my fart that bothers my wife, I scream "Release The Kra Kaken !!" Right before I do it. 	1	2.6	0.0	0.0
80	My wife was disappointed to figure out why my nickname was "the love machine" in the college. I sucked at the tennis. 	1	2.85	1.0	0.35
81	January is the Monday of months 	1	2.43	0.0	0.0
83	I woke up with a trapped nerves in my back. The pain is bad ... but worse is the sick feeling of being betrayed by my trusted friend, my bed. 	1	2.42	0.0	0.1
84	Twitter: You must have more talks with other users to successfully be successful on Twitter Me: * closes Twitter account * 	1	2.31	0.0	0.0
85	A lumberjack went into a magical forest to cut a tree. When he came there, he swung on a tree when he suddenly shouted, "Wait! I'm a talking tree!" The lumberjack laughed and said, "And you will dialogue." 	1	3.58	1.0	0.0
89	Barack Obama goes to a costume party as he gives his wife a piggyback ride. Someone asks him what he clad when he answers, "I'm a snail!" That's m'shell on my back 	1	3.25	1.0	0.25
91	I'm so angry with Facebook. I can not believe that you would leave my information after I signed up without reading a legal documentation, voluntarily all personal data about my life voluntarily and let them track my internet activities. How could you take me to me? 	1	2.79	1.0	0.05
93	Brad Pitt should have his own deodorant named Brad's Pits 	1	2.55	1.0	0.0
96	How do you call 2000 mockingbirds? Two kilomlockingbirds (credit goes to my old physics book) 	1	2.8	1.0	0.45
97	Why are birds flying south in winter? Because it go too far! 	1	2.5	0.0	0.0
98	[First Date] You: I want a man who gives me butterflies: (pulls the shoe carton from preserved dead butterflies) 	1	2.79	1.0	0.0
99	I was annoyed by this a Twitter account so that he has left up constantly to get me out of the way. They knew everything I had ever made, and have read every article about me and had a criticism for everything. Then I realized: You see everything I do, watch! You are my biggest fan! 	1	2.58	1.0	0.05
100	How do you call India's top TV show? Dan Singh with the sitits 	1	1.74	0.0	1.55
101	Last night my wife and I saw two hours of cooking shows before she hugged me and went to bed. I'm pretty sure I'm in the girlfriend zone. 	1	2.07	1.0	0.0
102	My girlfriend left a note on the fridge "That does not work. I go to my mother's house." I opened the fridge. The light came in. The beer was cold. What is she talking about? 	1	3.0	1.0	0.35
103	Did you find it difficult to queer in a black Greek letter-org? Aunt red tweet tea 	1	0.27	0.0	0.95
105	Why are gay men always for the first time to check a hotel? They had packed the shit the night before. 	1	2.1	1.0	3.45
106	The father of my girlfriend is pretty religious and said we could not love ... that's pretty disappointing because he's extremely pretty. 	1	3.25	0.0	0.15
108	Somebody sues Canada Dry Ginger Ale, because there is no ginger, so I would like to announce my action against Panda Express. 	1	2.75	1.0	0.25
110	[Group therapy in crazy asylum] Therapist: Let's talk about the wishes we need to hurt people. Psycho 1: I want people kill Psycho 2 2: I want people to eat psycho 3: I want throne spoiler psycho 1 and 2 post that's really confused. 	1	2.74	1.0	0.45
111	Baby Yoda = Joy, Old Yoda = Adorable, Teen Yoda = Friggin Impossible 	1	1.0	0.0	0.0
114	Time to fulfill my dream to market my own craft antifreeze line. 	1	1.59	1.0	0.0
115	I really enjoyed Jimcarreys "Memoire". Like Jim, the book is wild, funny, according to the invention, subversive and mainly made of compressed paper pulp. 	1	2.05	0.0	0.35
116	Me: oh my god, like the spaghetti type? DR. BOYARDEE: Do you want you to treat your snake bite or do you want to talk about my brother? 	1	2.11	1.0	0.1
117	I have just seen a shield in a shop window, the ... "I'd rather have a 1000 Muslim customer as a US soldier in my shop" The mourning orders crack me! 	1	2.0	0.0	3.8
118	A boy was born from an Indian, Chinese, Irish and Italian grandmother ... they could not settle on a name until they met them! They called him Ravi O. Lee 	1	2.47	1.0	1.2
119	How do you call a sad terrorist? A crisis 	1	2.16	1.0	0.85
120	If you ask for restaurants, whether you can pack my remaining food for me, I say no and stuff it in my cheeks like a hamster and go. 	1	1.47	0.0	0.05
121	My friend asked me to describe me in 3 words. Lazy 	1	2.85	1.0	0.0
122	A parody of the Mandalorian, but it's the Mindalorian? Am I am in the whole costume, but Make Mindy stuff? 	1	0.56	0.0	0.2
123	Cowboy: "Give me three packs of condoms, please." Cashier: "Do you need with the 'sir?" Cowboy: "Close ... She is Purigy Good Lookin '...." 	1	3.16	1.0	1.0
124	My girlfriend dressed as a policewoman and told me that I was suspected under the arrest to be good in bed. After 2 minutes, all charges were dropped due to lack of evidence. 	1	3.25	1.0	0.15
125	So I heard ladies like bad guys. Happiness for you, I'm bad at all 	1	2.65	1.0	0.2
126	Interviewer: What is your biggest weakness? 	1	1.24	1.0	0.4
128	When I was a kid, my mother listened to fed me. I asked her why and she says, "Hey, I just want to be friends." 	1	2.75	0.0	0.3
129	My best chance to catch up all the big TV broadcasts is a non-fatal skill accident. 	1	1.95	0.0	0.4
131	Girl do not dress to impress guys. We dress up to impress other girls. If we wanted to impress men, we would just walk around the whole day naked 	1	2.75	0.0	0.0
133	[Bedroom] Wife: Do that what I like: * Put the sleep apnea mask 	1	2.53	1.0	0.15
134	My wife and I was happy for 25 magical years .. and then we met ... 	1	3.4	0.0	0.25
135	I went a really rough time in the work this week. It's my own fault to swap my tampax for sandpaper. 	1	2.42	1.0	0.75
137	I was recently so stressed that I have this Chinese thing with the needles. Do you know ... Heroin. 	1	2.32	1.0	2.8
140	All these people receive emails from the Prince of Nigeria, I got one from an Egyptian pharaoh ... but it turned out that it is a pyramid scheme. 	1	3.0	0.0	0.0
141	[Sound to invent social media) 'What if there was a way that is constantly being overwhelmed with politics, rather than just every 4 years when choosing? " 	1	2.3	0.0	0.0
142	[Hospital] Doctor: We give you IV drugs to help with the pain. Do you have any questions? I: Why do you use Roman numerals to number your drugs? Doctor: ??? 	1	2.67	0.0	0.05
143	Grapes do not cry when crushed, but they make wine 	1	3.4	0.0	0.0
144	Black women make the best wives. You can not see your bruising. 	1	1.16	0.0	4.7
145	You have free mint in the cinema baths. Wife: "Gross, Who is eating mints from the bathroom?!" I: (Mouth full of mints) "I know!" 	1	2.8	1.0	0.0
147	This once I turned a defenseless black guy and was arrested. Because he identifies an officer of the law. 	1	2.22	0.0	2.6
148	My city never changes the population. Every time a girl is pregnant, a guy leaves the city. 	1	2.65	1.0	0.9
149	I: This spider that builds a net in my front door every day is an annoying spider: the person who always goes through my internet looks funny. Every time. Remember to rebuild this thing tomorrow 	1	1.95	1.0	0.0
151	My wife today has a cabbage and the Quinoa salad for lunch for me packed, so I have to eat it now to hide it in the bathroom, so people do not think I'm a hipster. 	1	2.0	0.0	0.2
153	An English man asked an American as he liked his tea the American answered, "in the harbor". 	1	2.58	0.0	0.35
154	Most birds: Chirp Chirp Chirp a very stuck type of bird who has forgotten where it comes from: Hoo 	1	1.89	1.0	0.0
158	It's hard to follow a clown-act that my girlfriend dated a clown before we started together. I have pretty big shoes to fill. 	1	2.55	0.0	0.0
159	Why are girls wear make-up and perfume? Because they are ugly and they smell. 	1	1.28	0.0	3.1
160	Why are girls always angry when I try to read their shirts? It's not my fault, I'm blind. 	1	2.63	1.0	0.95
161	"Back, when Tim and I lived in Denver, we always wanted a warm healthy way to start our day before a fleet Colorado-tomorrow! This was before I was diagnosed with Gerd, and shortly after we have accepted pepper our Black Lab . "Just give me the frittata recipe Goddamnit 	1	1.69	1.0	0.1
163	My boss said, "You are the worst train driver of all time. How many did you derail this year?" I said, "I'm not sure it's hard to pursue." 	1	2.85	0.0	0.0
164	Why does not the South have many subways? Because they hate underground railways. 	1	2.05	1.0	1.9
166	A fat man stood in front of a kindergarten, one of the teachers comes and asks him, "Expect a child?" "No, I'm a bit of fat, that's all" 	1	2.33	0.0	1.05
170	Interviewer: How are you with high stressful situations? 	1	2.0	1.0	0.15
171	How many Muslim women do it needs to screw a light bulb? Stupid, Muslim women must not screw incandescent lamps. 	1	1.55	0.0	3.35
172	After work to Chinatown in Chinatown 	1	1.79	0.0	2.3
173	Me: [goes on the film on] dog: should I paw it for you? I: Oh Sure - Wait, Wait, Wait Paws Dog: Lol Me: Oh my god Lmao 	1	2.5	0.0	0.0
174	* Bird flies through the chimney in my house, I'm walking out the front door and lock it on * Goodbye, house. 	1	1.72	0.0	0.2
175	I was thrown a Strip Club last night to use monopoly money. I do not see why I should pay real money to see false breasts. 	1	3.25	1.0	0.85
176	I want to say my girlfriend that she uses too much teeth when she goes down to me, but I do not want to hurt her feelings. How do I turn the blow? 	1	3.0	1.0	0.5
177	What are you doing when a blond throws a grenade on you? Pull the pin and throw it back. 	1	3.0	0.0	1.35
178	Did you know about the girl who felt with three guys? She came back with a red snapper. 	1	1.79	1.0	2.0
181	Mattel released a Muslim Barbie ... It's a blow-up doll. 	1	2.58	0.0	3.55
184	* Takes sweet picture with child for Instagram * writes inspiring post to be a good parent while ignoring a child for 45 minutes 	1	2.33	0.0	0.05
185	What have multiculturalism and the movie jaws together have? Both made Americans, despised big white! 	1	1.84	0.0	2.5
186	Here is a fedex joke - actually you will get it tomorrow 	1	3.21	0.0	0.0
187	Someone told me that I am condescending. That is, I speak with the people. 	1	2.47	0.0	0.25
188	From all roads to go to hell, sounds most comfortable in a hand basket. 	1	2.42	1.0	0.0
189	What saw the wife of the Kannibalen when he came home late for dinner? I give you the cold shoulder. 	1	2.5	0.0	0.0
190	Statistics say that 1 of 3 people is unfaithful in a relationship. I just have to train if that's my wife or girlfriend. 	1	2.9	0.0	0.5
193	How much wood would a Woodchuck food when a Woodchuck crossfit has? My guess is more. 	1	1.75	0.0	0.05
194	Whenever I get new followers, I try to tweet something really disappointing tweet so you know what you are there. 	1	2.76	0.0	0.0
195	I see a picture of Mars Rover: I love you, Mars Rover. I watch an episode of planet earth: I love you, David Attenborough I see my father personally: Hey, age. 	1	2.38	0.0	0.0
197	Three blondes sit on a park bench eating ice cream cones. You suck that you suck you, that you bite you lick them licking them. Which one is married? The with the wedding ring you are sick! 	1	1.95	0.0	0.6
200	I did not know what to wear to the premature ejaculation club, so I just came into my pants 	1	2.65	1.0	1.0
201	Comic Plot Idea: Catwoman dies after the uncontrollable urge to hunt after the laservision of Superman. 	1	2.45	0.0	0.0
202	The best part of a 3D movie is, as everyone in the theater like Roy Orbison looks like. 	1	2.05	1.0	0.3
203	If you are sitting here, wonder if a spiderweb becomes a COB. Like Plato, Aristotle and the others. 	1	1.31	1.0	0.0
204	Professor: Osmium is the densest material of the earth, 22 grams in a cubic centimeter 	1	1.56	1.0	0.35
205	This girl I like, said she did not want bondage ...... I too, but you are the one who said no 	1	1.17	1.0	1.1
208	How do you call someone who cleans a vacuum cleaner? A vacuum cleaner. 	1	2.3	1.0	0.0
210	I think my friend could be gay ... his cock tastes like shit. 	1	2.05	1.0	2.25
211	What has the French boss to give his wife on Valentine's Day? A hug and a small quiche. 	1	2.75	1.0	0.3
212	How to call a large, obese computer nerd with a bubble control problem. A big fat geek wetting. 	1	1.75	0.0	1.8
213	ABC News: Bees Fly and make honey fox: Islamic insects attacking Texas CNN: Flying Warbirds Create Liquid Yellow Mass Destruction 	1	2.47	1.0	0.45
214	What do you call mosquitoes in Pakistan? Kirchitos 	1	1.3	0.0	1.1
217	How does a pilice pilth that would like to throw a Javelin liabilities? You do not have to be very good to attract people's attention. 	1	2.74	0.0	0.05
220	[First date] You: I like bad guys to me: (try to impress) sometimes I answer "not answers" e-mails 	1	2.47	1.0	0.0
221	Two cheese wagons ran into each other. De Brie was everywhere. 	1	3.15	1.0	0.2
223	If you get a divorce in Arkansas ... ... is she still her sister? 	1	2.79	0.0	1.75
226	People: We are not like snakes too humans: mmmm eggs 	1	2.24	1.0	0.0
231	Yo Mamas is like the sun, which you long for you to long, you'll go blind! 	1	1.72	0.0	0.85
232	What is a word that can call white people white people, but black people can not call black people? Father. 	1	1.5	0.0	3.55
