id,is_humor,humor_rating,humor_controversy,offense_rating
9001,1,2.53413,1,1.0093409
9002,0,1.6510481,0,0.7204226
9003,1,2.7527733,1,0.8341022
9004,1,2.0858102,0,0.4683631
9005,1,2.4556425,1,0.27140427
9006,1,2.5418634,0,0.032015357
9007,1,2.1093485,1,0
9008,1,1.9157736,1,0.2861805
9009,1,2.3857443,0,0.65957373
9010,1,2.4463198,0,1.7338196
9011,1,1.9613341,1,0.1301131
9012,0,1.8607963,0,0.99777085
9013,0,1.8737124,0,0
9014,0,1.6928809,0,0
9015,0,2.0732143,1,0.0914022
9016,1,2.503332,0,0.31944877
9017,1,2.7919033,1,1.8079528
9018,1,2.5803132,1,1.4023556
9019,0,1.668743,1,0.043788765
9020,0,1.5015182,1,0
9021,0,1.6365564,0,0.5970426
9022,0,1.4468385,0,0.009092518
9023,1,2.809959,1,0
9024,1,2.5330162,1,1.6140054
9025,0,1.6016873,0,0.68731517
9026,1,1.9685701,1,0.84602255
9027,0,2.0618172,0,0
9028,1,2.5603151,1,2.944686
9029,1,2.3190632,0,2.2993383
9030,1,2.3688314,0,0.13101628
9031,0,2.446847,1,0.097470336
9032,1,2.0175345,1,1.672671
9033,0,1.9301165,0,2.8520017
9034,0,2.6251616,1,0.08560884
9035,1,2.5343273,0,0.02040627
9036,1,2.2365475,0,2.1073456
9037,1,2.6524353,1,1.3442699
9038,1,2.8603833,1,0.7607916
9039,1,2.750567,1,0.31026614
9040,1,2.085574,0,2.5105658
9041,0,1.6742502,0,0.7150553
9042,1,2.1796741,1,0.4724496
9043,1,2.070019,1,0.15740801
9044,0,1.4704393,0,0
9045,1,2.3064675,1,0.09875316
9046,1,2.5245311,0,0.3558077
9047,0,2.299793,0,0
9048,0,1.8549507,1,0
9049,0,2.2945197,1,0.09509469
9050,1,2.1377845,1,0.59609413
9051,1,2.5686333,1,0.25396675
9052,0,1.3849751,0,0
9053,1,2.1394272,0,0.3650168
9054,1,2.226226,1,0.6507308
9055,0,1.7981678,1,0.8796842
9056,1,2.0503993,1,0.17831817
9057,1,1.975069,0,1.5896655
9058,1,1.8037292,0,1.2162368
9059,1,2.2729213,1,0
9060,1,1.8815112,0,0.09424701
9061,1,1.9659696,1,0.3011094
9062,1,2.2693086,0,0.65238166
9063,1,2.4795458,0,0.08349631
9064,0,2.1462443,0,0.18021904
9065,1,1.7520337,1,3.3281662
9066,0,1.3013242,0,0.18037114
9067,0,2.3379114,0,0.19647059
9068,1,2.7092583,1,0.18318562
9069,0,1.3943173,0,0.03730439
9070,1,2.517721,1,0.5103602
9071,1,2.5308535,0,0.06504263
9072,0,1.525609,0,0.01682336
9073,0,1.9897351,1,0.21208298
9074,0,2.1782095,1,0.003842001
9075,0,1.9175587,0,0
9076,1,2.3537738,1,2.8225565
9077,1,3.0196493,0,0.23233517
9078,1,2.4496224,0,0.099334896
9079,1,1.9504131,0,2.287796
9080,1,2.7648957,1,0.37112004
9081,0,2.26955,0,0
9082,0,1.6586593,1,0.048191126
9083,1,2.3602161,1,1.6607741
9084,0,1.7274168,0,0.88806
9085,0,2.1592193,1,0.73486537
9086,1,1.7204924,0,0
9087,0,2.2219517,0,0.1199657
9088,0,1.5235906,0,0.72108155
9089,1,2.2290466,1,0.1412339
9090,0,1.5559393,1,0.9404406
9091,0,2.4448195,0,0
9092,1,2.3853602,1,1.0766704
9093,1,2.3966763,0,1.2857734
9094,0,2.4166942,0,0
9095,0,1.6304392,0,0.32586563
9096,1,1.4617407,1,3.3247235
9097,1,2.147216,1,0.37667406
9098,1,2.3600914,0,0.73583955
9099,1,2.177385,1,0.17016824
9100,0,1.7635782,0,0.03419087
9101,1,2.5704978,1,0.40518355
9102,0,1.7474473,1,0.23135588
9103,1,2.5199206,1,0.38654307
9104,1,2.5122619,1,2.5744019
9105,1,2.321087,0,0.22303788
9106,1,2.1267757,0,0.9386782
9107,1,2.854504,0,0
9108,1,2.5555568,0,0.97382814
9109,1,2.3702834,0,0
9110,1,2.217211,1,0.72039115
9111,0,1.6984124,0,0.13275985
9112,1,2.3721836,1,1.7008357
9113,1,2.403121,1,1.7228938
9114,1,2.4691489,1,0.63204616
9115,1,2.4476776,1,0.19835475
9116,0,1.7292534,0,0.21314108
9117,0,2.0475318,0,0.055201672
9118,0,1.8894235,0,2.5497947
9119,1,2.0360518,1,2.782086
9120,0,1.7993485,1,0.027770368
9121,1,2.6871293,1,0.22499737
9122,1,2.3682473,1,0.17892078
9123,0,1.283942,0,0
9124,1,2.39031,1,0.031545844
9125,1,2.2142844,1,0.5025947
9126,1,2.8712113,1,0.18171363
9127,0,1.897784,0,0
9128,0,1.7317647,0,0
9129,0,1.5866426,0,0
9130,1,1.6196381,0,1.3779064
9131,0,1.1348935,1,1.1528865
9132,0,2.3290842,0,0
9133,1,1.8513219,0,2.258882
9134,0,2.023015,0,0
9135,1,2.2228107,1,0.7452775
9136,0,1.6618569,0,0.49368685
9137,1,2.7284296,1,0.9680254
9138,0,1.443446,0,0.500325
9139,1,2.2321236,1,0
9140,1,1.9111991,0,0.96042204
9141,1,2.531446,0,0.08088431
9142,1,2.1518526,1,0.09092584
9143,0,1.9820737,0,0.5654896
9144,1,2.209567,1,0.12816657
9145,1,2.736891,1,0.051897556
9146,1,2.6648893,0,0.11111403
9147,1,2.3032465,0,1.0705106
9148,0,1.8416454,0,1.0034164
9149,0,1.6391107,0,2.1740005
9150,1,2.2121189,0,0
9151,0,2.243298,0,0.18003646
9152,1,2.559749,0,0.69897944
9153,1,2.249914,1,1.047215
9154,0,2.8254814,1,0.02162114
9155,1,1.5472348,0,3.4238198
9156,0,2.5328379,1,0.038721938
9157,0,1.8804343,0,0
9158,1,1.8844391,1,0.14137554
